LeagueName, PlayerID, Division
Zyra's Infiltrators, 32172257, DIAMOND
Nami's Enforcers, 25270227, DIAMOND
Annie's Chosen, 22874084, DIAMOND
Poppy's Paladins, 20473563, DIAMOND
Orianna's Commandos, 19491037, DIAMOND
Darius's Wizards, 24981718, DIAMOND
Heimerdinger's Mercenaries, 29172059, DIAMOND
Wukong's Paragons, 43356646, DIAMOND
Vladimir's Maulers, 20672928, DIAMOND
Mordekaiser's Maulers, 19966161, DIAMOND
Wukong's Outriders, 34561007, DIAMOND
Renekton's Stalkers, 35104028, DIAMOND
Miss Fortune's Weaponmasters, 19935780, DIAMOND
Nautilus's Lifedrinkers, 39009460, DIAMOND
Galio's Brood, 23634397, DIAMOND
Varus's Villains, 40359635, DIAMOND
Kog'Maw's Horde, 30560022, DIAMOND
Soraka's Duelists, 37350711, DIAMOND
Diana's Warlocks, 42838977, DIAMOND
Riven's Snipers, 64766307, DIAMOND
Nasus's Exemplars, 19732502, DIAMOND
Ryze's Emmissaries, 34054809, DIAMOND
Caitlyn's Swashbucklers, 21207070, DIAMOND
Zilean's Urfriders, 32751192, DIAMOND
Kayle's Berserkers, 30836260, DIAMOND
Graves's Tricksters, 37330206, DIAMOND
Poppy's Swashbucklers, 28109634, DIAMOND
Singed's Rageborn, 21993077, DIAMOND
Galio's Warmongers, 21897071, DIAMOND
Jarvan IV's Spellbreakers, 23759191, DIAMOND
Morgana's Ravagers, 50453166, DIAMOND
Sivir's Defiants, 32512794, DIAMOND
Akali's Rogues, 37532228, DIAMOND
Skarner's Sentries, 48378051, DIAMOND
Udyr's Exemplars, 32525807, DIAMOND
Darius's Blackguards, 44159449, DIAMOND
Poppy's Pyromancers, 25075694, DIAMOND
Kha'Zix's Warriors, 49188821, DIAMOND
Olaf's Sentinels, 50521814, DIAMOND
Graves's Dragoons, 68733242, DIAMOND
