MatchID, Outcome, MatchType, FirstTower, FirstBlood, FirstDragon, FirstInhibitor
1931877717,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931884125,Red,RANKED_SOLO_5x5,Blue,Red,Blue,Red
1931886523,Red,RANKED_SOLO_5x5,Red,Blue,Red,Blue
1931887908,Red,RANKED_SOLO_5x5,Blue,Red,Blue,Blue
1931889072,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931889953,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931891387,Red,RANKED_SOLO_5x5,Blue,Red,Blue,Red
1931891787,Blue,RANKED_SOLO_5x5,Red,Blue,Red,Blue
1931893524,Red,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931893674,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Blue
1931893764,Blue,RANKED_SOLO_5x5,Red,Red,Red,Red
1931893969,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931893985,Blue,RANKED_SOLO_5x5,Red,Red,Red,Blue
1931894096,Blue,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931894439,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931894713,Blue,RANKED_SOLO_5x5,Red,Red,Blue,Red
1931894864,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Blue
1931895065,Red,RANKED_SOLO_5x5,Red,Red,Blue,Red
1931895075,Blue,RANKED_SOLO_5x5,Blue,Red,Blue,Red
1931895141,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931895724,Red,RANKED_SOLO_5x5,Red,Red,Blue,Red
1931895819,Blue,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931895832,Blue,RANKED_SOLO_5x5,Red,Red,Red,Blue
1931895954,Blue,RANKED_SOLO_5x5,Red,Red,Blue,Blue
1931896207,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931896561,Blue,RANKED_SOLO_5x5,Blue,Red,Red,Blue
1931896906,Blue,RANKED_SOLO_5x5,Red,Blue,Blue,Red
1931896949,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931897206,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931897401,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931897749,Red,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931897977,Red,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931898177,Red,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931898320,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931899139,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Red
1931899230,Blue,RANKED_SOLO_5x5,Red,Red,Red,Blue
1931899281,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Blue
1931899448,Blue,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931899699,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931901494,Red,RANKED_SOLO_5x5,Red,Blue,Red,Red
1931901497,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931901996,Red,RANKED_SOLO_5x5,Red,Red,Red,Blue
1931901997,Blue,RANKED_SOLO_5x5,Red,Blue,Blue,Blue
1931902572,Red,RANKED_SOLO_5x5,Red,Blue,Blue,Red
1931903042,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931903350,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931903491,Blue,RANKED_SOLO_5x5,Blue,Red,Red,Blue
1931903616,Red,RANKED_SOLO_5x5,Red,Blue,Red,Blue
1931903736,Red,RANKED_SOLO_5x5,Blue,Red,Red,Blue
1931903866,Red,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931903936,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931904212,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931904427,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931904634,Blue,RANKED_SOLO_5x5,Blue,Blue,Red,Blue
1931904720,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931905075,Red,RANKED_SOLO_5x5,Red,Red,Red,Red
1931905085,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Blue
1931905230,Red,RANKED_SOLO_5x5,Blue,Blue,Red,Red
1931905402,Blue,RANKED_SOLO_5x5,Blue,Blue,Blue,Blue
1931905510,Red,RANKED_SOLO_5x5,Red,Blue,Blue,Red
