MatchNum, MatchID, ChampionKDA, ChampionWinrate, ChampionGamesPlayed, ChampionPlayrate, PlayrateFlag, SeasonGamesPlayed, SeasonWinrate, SeasonKDA, DamageTypeDiff, rA_kills, rA_assists, rA_deaths, rA_KDA, rA_winrate, rA_gpm, rA_timeToWin, rA_totalDmgToChamp, rA_ccDealt, rA_wardskilled, rA_wardsPlaced, rA_visionWardsBought, rA_minionskilled, rA_neutralKilled, rA_firstBloodKill, rA_firstTowerAssist, rA_firstTowerKill
21,1931877717,-0.03,-8.19,-15.4,-13.14,-0.2,51,-1.15,-0.01,-12,0.01,1.23,-0.31,0.11,-7.95,-18.78,-3.78,-243.82,206.37,-0.83,0.58,-1.38,15.26,-13.82,0.1,-0.08,-0.08
6,1931884125,-0.18,-4.7,-179,-15.97,-0.2,-237.8,2.52,0.04,6,0.73,-0.54,1.11,-0.74,-16.24,24.89,1.17,4121.46,258.39,-2.45,-4.68,-0.67,65.04,-7.75,-0.04,-0.08,-0.08
12,1931886523,-0.61,-25,-73.6,-11.49,-0.6,137.4,-1.58,-0.37,0,-0.56,-1.63,0.88,-0.75,-28.43,-32.96,8.94,-1205.89,240.72,0.89,-1.74,-0.59,-33.88,-1.69,-0.05,-0.04,-0.04
3,1931887908,1.34,12.54,6.6,-3.84,0.2,84.4,1.3,0.51,-2,0.14,5.06,0.7,1.05,14,49.17,12.73,4272.88,119.26,1.48,10.26,1.13,38.21,-0.67,0.03,0.03,0.03
33,1931889072,0.19,-2,23.8,0.54,0,365.6,-1.74,-0.33,0,0.46,-2.43,-1.19,0.15,0.09,37.77,-4.8,-2122.87,-92.35,-0.53,-3.81,0.43,-21.47,22.18,0.06,-0.02,-0.02
2,1931889953,-0.33,-7.11,-135.2,-14.89,-0.4,23.4,0.78,-0.75,2,0.8,-0.63,0.16,-0.28,-6.66,12.26,-0.26,-43.5,-72.2,0.27,-1.3,0.05,8.18,7.25,0.1,-0.02,-0.02
0,1931891387,0.22,-6.82,-141.8,-24.94,-0.8,280.8,-2.09,0.56,-4,-0.92,-0.12,-0.57,0.06,-9.67,-31.48,0.41,868.13,115.45,0.35,0.9,0.66,-15.12,10.01,0.05,-0.02,-0.02
21,1931891787,-3.32,-7.68,-20.8,-7.99,-0.4,993.8,0.32,-0.09,-2,0.51,-2.08,0.6,-3.19,-3.91,-5.51,-1.46,-1015.89,-322,-1.01,-0.81,-0.77,-9.79,-1.09,-0.03,-0.2,-0.2
15,1931893524,-0.96,-8.93,17.2,9.55,0.2,15.4,1.72,-0.24,4,-0.18,-1.9,1.08,-1.16,-15.07,0.54,6.65,-2229.68,-561.59,-0.29,0.12,0.03,10.49,-2.32,-0.03,-0.03,-0.03
43,1931893674,-0.47,-1.52,-22.2,-5.91,-0.4,-43,1.81,0.15,-6,-1.76,-1.15,0.22,-0.59,-7.33,-7.64,-2.13,-213.04,163.47,-0.89,0.32,-0.43,-0.46,3.06,-0.02,-0.01,-0.01
65,1931893764,-0.79,-6.88,34,5.33,0,125,-2.65,-0.37,-2,0.61,-0.32,-0.31,-0.57,-6.54,-62.07,-3.12,3503.8,-204.87,0.08,-3.15,0.37,-48.3,14.75,-0.02,0.12,0.12
